event_id,account_id,home_city,timestamp,agent_id,agent_recent_swap_count,distance_from_home_km,device_changed,hours_to_activation,txn_attempts_1h,txn_value_1h_naira,hour_of_day,ground_truth_fraud
38,ACC-100038,Lagos,2026-07-22T07:06:45.292Z,AG-1022,0,10.6,0,33.08,1,0,9,0
39,ACC-100039,Abuja,2026-07-12T07:06:45.292Z,AG-1016,0,18.8,1,0,0,0,16,0
40,ACC-100040,Lagos,2026-09-03T07:06:45.292Z,AG-1015,2,0,0,17.71,0,0,20,0
41,ACC-100041,Ibadan,2026-08-22T07:06:45.292Z,AG-1027,0,66.3,1,20.34,1,0,13,0
42,ACC-100042,Abuja,2026-06-07T07:06:45.292Z,AG-1025,2,10.5,0,17.02,1,0,19,0
43,ACC-100043,Ibadan,2026-08-27T07:06:45.292Z,AG-1029,1,13.7,0,25.48,0,0,22,0
44,ACC-100044,Abuja,2026-07-12T07:06:45.292Z,AG-1006,2,7.9,1,23.04,1,0,11,0
45,ACC-100045,Kano,2026-07-27T07:06:45.292Z,AG-1001,0,12.7,0,15.25,0,25557,11,0
46,ACC-100046,Port Harcourt,2026-07-03T07:06:45.292Z,AG-1027,1,15.8,0,5.01,2,0,6,0
47,ACC-100047,Kano,2026-07-17T07:06:45.292Z,AG-1037,1,2.4,0,3.42,0,8818,19,0
48,ACC-100048,Abuja,2026-06-10T07:06:45.292Z,AG-1005,1,387.9,0,0.74,2,0,9,1
49,ACC-100049,Lagos,2026-08-22T07:06:45.292Z,AG-1000,1,5.7,0,4.42,1,0,14,0
50,ACC-100050,Kano,2026-08-02T07:06:45.292Z,AG-1026,0,21.6,0,11.8,2,0,13,0
51,ACC-100051,Kano,2026-06-06T07:06:45.292Z,AG-1001,1,0,0,25.3,0,0,6,0
52,ACC-100052,Port Harcourt,2026-07-17T07:06:45.292Z,AG-1020,1,2.9,0,12.99,0,1269,13,0
53,ACC-100053,Kano,2026-08-08T07:06:45.292Z,AG-1035,2,7,1,18.76,1,0,7,0
54,ACC-100054,Abuja,2026-09-01T07:06:45.292Z,AG-1026,1,13.3,0,0,0,0,10,0
55,ACC-100055,Kano,2026-08-30T07:06:45.292Z,AG-1010,3,5.4,0,7.19,1,16595,21,0
56,ACC-100056,Lagos,2026-07-15T07:06:45.292Z,AG-1030,0,15.3,0,29.93,1,0,9,0
57,ACC-100057,Kano,2026-08-15T07:06:45.292Z,AG-1037,6,224.7,1,0.71,3,153363,7,1
58,ACC-100058,Kano,2026-07-15T07:06:45.292Z,AG-1037,2,38.6,0,16.1,2,0,15,0
59,ACC-100059,Port Harcourt,2026-07-22T07:06:45.292Z,AG-1005,4,35.5,0,8.93,0,0,13,0
60,ACC-100060,Port Harcourt,2026-07-16T07:06:45.292Z,AG-1022,1,10.6,0,26.41,0,0,8,0
61,ACC-100061,Lagos,2026-07-12T07:06:45.292Z,AG-1024,2,0,0,17.22,1,0,13,0
62,ACC-100062,Lagos,2026-07-19T07:06:45.292Z,AG-1010,5,23.9,0,6.08,0,0,21,0
63,ACC-100063,Kano,2026-07-18T07:06:45.292Z,AG-1008,0,72.5,0,3.15,0,24145,17,0
64,ACC-100064,Abuja,2026-06-14T07:06:45.292Z,AG-1003,3,6.7,0,18.35,0,17,16,0
65,ACC-100065,Lagos,2026-06-20T07:06:45.292Z,AG-1003,0,6.4,0,0,0,0,12,0
66,ACC-100066,Port Harcourt,2026-08-21T07:06:45.292Z,AG-1013,3,42.9,1,1.06,0,0,19,0
67,ACC-100067,Lagos,2026-07-07T07:06:45.292Z,AG-1023,0,14.2,0,11.02,0,18548,17,0
68,ACC-100068,Lagos,2026-07-11T07:06:45.292Z,AG-1030,2,32.1,1,29.25,1,0,16,0
69,ACC-100069,Port Harcourt,2026-08-22T07:06:45.292Z,AG-1020,2,12.3,0,35.29,0,22394,6,0
70,ACC-100070,Lagos,2026-07-07T07:06:45.292Z,AG-1004,2,36.1,1,13.26,0,0,17,0
71,ACC-100071,Kano,2026-07-22T07:06:45.292Z,AG-1014,2,0,0,27.51,1,0,17,0
72,ACC-100072,Port Harcourt,2026-07-18T07:06:45.292Z,AG-1026,0,0,0,13.93,0,0,7,0
73,ACC-100073,Abuja,2026-06-25T07:06:45.292Z,AG-1000,0,58.5,0,3.99,2,0,11,0
74,ACC-100074,Abuja,2026-08-12T07:06:45.292Z,AG-1000,2,24.1,1,0,0,0,11,0
75,ACC-100075,Kano,2026-08-04T07:06:45.292Z,AG-1014,1,0,0,27.89,2,83,12,0
76,ACC-100076,Kano,2026-07-21T07:06:45.293Z,AG-1028,0,10.3,0,17.56,1,9844,8,0
77,ACC-100077,Abuja,2026-07-27T07:06:45.293Z,AG-1039,0,2.3,1,0,1,0,17,0
78,ACC-100078,Port Harcourt,2026-08-21T07:06:45.293Z,AG-1026,0,12.1,0,22.73,2,0,17,0
79,ACC-100079,Kano,2026-07-30T07:06:45.293Z,AG-1035,2,26.9,0,12.14,1,0,21,0
80,ACC-100080,Port Harcourt,2026-08-15T07:06:45.293Z,AG-1034,3,121.5,1,13.73,0,0,8,0
81,ACC-100081,Abuja,2026-09-02T07:06:45.293Z,AG-1038,1,4,0,16.69,1,0,8,0
82,ACC-100082,Kano,2026-07-13T07:06:45.293Z,AG-1037,2,23.5,0,0,2,6604,22,0
83,ACC-100083,Lagos,2026-07-17T07:06:45.293Z,AG-1030,1,24.9,0,24.18,1,13058,11,0
84,ACC-100084,Abuja,2026-06-18T07:06:45.293Z,AG-1022,3,70.5,0,4.72,2,0,13,0
85,ACC-100085,Lagos,2026-07-11T07:06:45.293Z,AG-1021,2,81.9,0,37.57,2,0,22,0
86,ACC-100086,Kano,2026-07-04T07:06:45.293Z,AG-1036,1,14.5,0,1.66,2,1040,19,0
87,ACC-100087,Kano,2026-08-20T07:06:45.293Z,AG-1024,2,49.5,0,21.26,0,0,7,0
88,ACC-100088,Kano,2026-08-06T07:06:45.293Z,AG-1031,0,0,1,20.62,2,0,7,0
89,ACC-100089,Port Harcourt,2026-06-21T07:06:45.293Z,AG-1033,3,35.9,1,23.91,0,0,11,0
90,ACC-100090,Port Harcourt,2026-08-01T07:06:45.293Z,AG-1014,2,1.7,0,9.4,0,0,22,0
91,ACC-100091,Kano,2026-08-26T07:06:45.293Z,AG-1004,2,73.1,0,18.23,1,0,11,0
92,ACC-100092,Lagos,2026-08-08T07:06:45.293Z,AG-1015,2,28.1,0,19.3,0,0,8,0
93,ACC-100093,Lagos,2026-06-08T07:06:45.293Z,AG-1002,4,26.8,1,5.82,0,0,14,0
94,ACC-100094,Abuja,2026-08-14T07:06:45.293Z,AG-1033,0,44.9,0,6.02,0,0,21,0
95,ACC-100095,Abuja,2026-06-27T07:06:45.293Z,AG-1015,2,0,1,4.1,2,0,6,0
96,ACC-100096,Lagos,2026-07-17T07:06:45.293Z,AG-1011,0,0,1,17.74,0,0,12,0
97,ACC-100097,Port Harcourt,2026-06-14T07:06:45.293Z,AG-1035,2,7,1,18.62,2,0,13,0
98,ACC-100098,Abuja,2026-07-08T07:06:45.293Z,AG-1030,3,18.4,1,28.5,0,7841,12,0
99,ACC-100099,Kano,2026-09-02T07:06:45.293Z,AG-1026,2,7.1,0,20.04,0,20450,9,0
100,ACC-100100,Port Harcourt,2026-09-02T07:06:45.293Z,AG-1027,6,1.1,0,0,1,0,19,0
101,ACC-100101,Ibadan,2026-06-21T07:06:45.293Z,AG-1025,4,0,0,27.45,0,0,10,0
102,ACC-100102,Port Harcourt,2026-06-13T07:06:45.293Z,AG-1026,0,11.7,0,12.27,1,10446,18,0
103,ACC-100103,Kano,2026-07-14T07:06:45.293Z,AG-1030,0,58.6,1,6.84,1,6542,8,0
104,ACC-100104,Abuja,2026-06-10T07:06:45.293Z,AG-1010,1,11.2,0,2.51,1,0,22,0
105,ACC-100105,Kano,2026-07-06T07:06:45.293Z,AG-1034,3,0,0,5.26,2,0,11,0
106,ACC-100106,Kano,2026-08-23T07:06:45.293Z,AG-1015,0,12.7,0,19.95,1,6210,11,0
107,ACC-100107,Abuja,2026-09-03T07:06:45.293Z,AG-1026,1,35.9,0,21.82,2,0,12,0
108,ACC-100108,Abuja,2026-08-04T07:06:45.293Z,AG-1024,0,0,1,23.6,1,0,12,0
109,ACC-100109,Kano,2026-07-06T07:06:45.293Z,AG-1010,0,43.9,0,26.76,0,0,8,0
110,ACC-100110,Ibadan,2026-07-03T07:06:45.293Z,AG-1018,0,26.5,0,34.23,0,10522,19,0
111,ACC-100111,Abuja,2026-06-13T07:06:45.293Z,AG-1033,2,40.7,0,16.91,1,0,11,0
112,ACC-100112,Lagos,2026-08-19T07:06:45.293Z,AG-1028,2,8.8,0,14.31,0,28236,13,0
113,ACC-100113,Port Harcourt,2026-06-29T07:06:45.293Z,AG-1008,1,11.3,0,22.78,1,0,10,0
114,ACC-100114,Kano,2026-06-30T07:06:45.293Z,AG-1010,4,43.1,0,1.79,4,116570,13,1
115,ACC-100115,Abuja,2026-08-13T07:06:45.293Z,AG-1021,2,0,0,25.22,1,0,8,0
116,ACC-100116,Kano,2026-08-27T07:06:45.293Z,AG-1037,1,0,0,14.93,1,0,22,0
117,ACC-100117,Port Harcourt,2026-09-02T07:06:45.293Z,AG-1038,0,4.3,0,2.38,1,5239,14,0
118,ACC-100118,Lagos,2026-06-20T07:06:45.293Z,AG-1032,3,5.6,1,20.65,1,0,19,0
119,ACC-100119,Port Harcourt,2026-07-21T07:06:45.293Z,AG-1008,1,0,0,12.21,1,11288,7,0
120,ACC-100120,Kano,2026-06-23T07:06:45.293Z,AG-1009,1,57.2,0,19.1,0,0,17,0
121,ACC-100121,Ibadan,2026-07-16T07:06:45.293Z,AG-1034,2,17.5,1,20.77,0,0,18,0
122,ACC-100122,Port Harcourt,2026-06-16T07:06:45.293Z,AG-1032,0,0.6,0,15.82,0,8836,12,0
123,ACC-100123,Lagos,2026-06-11T07:06:45.294Z,AG-1033,1,7.3,0,17.57,1,16211,6,0
124,ACC-100124,Ibadan,2026-07-18T07:06:45.294Z,AG-1030,0,12,0,31.5,1,5379,19,0
125,ACC-100125,Lagos,2026-06-19T07:06:45.294Z,AG-1005,1,0,0,11.32,1,0,20,0
126,ACC-100126,Abuja,2026-08-12T07:06:45.294Z,AG-1038,1,87.4,1,16.85,0,0,22,0
127,ACC-100127,Kano,2026-06-20T07:06:45.294Z,AG-1038,2,12.8,1,33.06,1,0,21,0
128,ACC-100128,Port Harcourt,2026-08-14T07:06:45.294Z,AG-1030,0,65.1,0,2.61,0,0,20,0
129,ACC-100129,Port Harcourt,2026-07-03T07:06:45.294Z,AG-1038,0,1.6,0,18.74,0,0,7,0
130,ACC-100130,Kano,2026-06-15T07:06:45.294Z,AG-1009,0,14.7,0,19.58,0,0,10,0
131,ACC-100131,Abuja,2026-08-29T07:06:45.294Z,AG-1022,1,106.5,1,34.2,0,0,8,0
132,ACC-100132,Lagos,2026-07-22T07:06:45.294Z,AG-1013,1,0,1,13.69,1,0,6,0
133,ACC-100133,Ibadan,2026-06-08T07:06:45.294Z,AG-1039,1,43.3,0,17.51,0,0,18,0
134,ACC-100134,Lagos,2026-07-22T07:06:45.294Z,AG-1036,2,8.7,1,10.76,1,0,18,0
135,ACC-100135,Lagos,2026-06-14T07:06:45.294Z,AG-1013,1,15.3,1,0,1,0,9,0
136,ACC-100136,Ibadan,2026-07-22T07:06:45.294Z,AG-1020,1,24.3,0,3.27,1,0,12,0
137,ACC-100137,Abuja,2026-06-15T07:06:45.294Z,AG-1015,1,0,0,0,0,10262,22,0
138,ACC-100138,Lagos,2026-07-21T07:06:45.294Z,AG-1035,4,0,0,24.41,0,12049,19,0
139,ACC-100139,Lagos,2026-07-08T07:06:45.294Z,AG-1003,1,51.7,0,10,0,0,6,0
140,ACC-100140,Lagos,2026-08-24T07:06:45.294Z,AG-1024,2,3.5,1,0.82,0,0,22,0
141,ACC-100141,Ibadan,2026-06-19T07:06:45.294Z,AG-1015,2,2.1,0,16.05,0,0,14,0
142,ACC-100142,Abuja,2026-06-21T07:06:45.294Z,AG-1000,1,72.4,0,22.48,2,0,14,0
143,ACC-100143,Kano,2026-08-30T07:06:45.294Z,AG-1034,2,0,0,15.55,0,0,17,0
144,ACC-100144,Port Harcourt,2026-08-31T07:06:45.294Z,AG-1003,1,24.8,1,4,0,0,13,0
145,ACC-100145,Abuja,2026-07-01T07:06:45.294Z,AG-1017,0,34,0,32.5,1,0,20,0
146,ACC-100146,Lagos,2026-06-17T07:06:45.294Z,AG-1029,0,2.5,0,9.87,1,0,20,0
147,ACC-100147,Kano,2026-08-13T07:06:45.294Z,AG-1002,1,11.4,0,12.33,0,6384,17,0
148,ACC-100148,Port Harcourt,2026-06-07T07:06:45.294Z,AG-1025,0,271.1,0,2.07,3,187479,0,1
149,ACC-100149,Abuja,2026-08-31T07:06:45.294Z,AG-1000,3,0,0,16.72,2,0,15,0
150,ACC-100150,Ibadan,2026-07-28T07:06:45.294Z,AG-1019,0,32.9,0,20.2,2,0,16,0
151,ACC-100151,Lagos,2026-07-31T07:06:45.294Z,AG-1033,1,0,1,30.66,1,0,22,0
152,ACC-100152,Port Harcourt,2026-08-09T07:06:45.294Z,AG-1017,3,20,0,17.78,1,0,17,0
153,ACC-100153,Kano,2026-07-07T07:06:45.294Z,AG-1008,0,0,1,12.76,1,0,21,0
154,ACC-100154,Lagos,2026-08-23T07:06:45.294Z,AG-1004,0,60.6,0,15.35,0,0,10,0
155,ACC-100155,Ibadan,2026-07-25T07:06:45.294Z,AG-1029,0,4.8,0,0,1,0,19,0
156,ACC-100156,Ibadan,2026-08-11T07:06:45.294Z,AG-1005,0,4.9,0,0,2,0,14,0
157,ACC-100157,Kano,2026-07-07T07:06:45.294Z,AG-1033,1,27.2,0,18.86,1,0,20,0
158,ACC-100158,Kano,2026-08-23T07:06:45.294Z,AG-1027,2,1.3,0,12.02,2,0,22,0
159,ACC-100159,Port Harcourt,2026-08-23T07:06:45.294Z,AG-1025,0,32.3,0,0,0,7131,6,0
160,ACC-100160,Ibadan,2026-07-09T07:06:45.294Z,AG-1016,4,0,0,3.08,1,0,12,0
161,ACC-100161,Ibadan,2026-08-01T07:06:45.294Z,AG-1029,0,43.7,0,11.3,0,0,7,0
162,ACC-100162,Abuja,2026-06-27T07:06:45.294Z,AG-1019,3,8.7,0,18.05,0,0,14,0
163,ACC-100163,Lagos,2026-07-02T07:06:45.294Z,AG-1017,1,16.1,0,17.07,1,0,14,0
164,ACC-100164,Kano,2026-08-10T07:06:45.294Z,AG-1016,1,7.8,0,20.19,1,15066,11,0
165,ACC-100165,Kano,2026-07-02T07:06:45.294Z,AG-1002,1,63.6,0,19.86,0,0,16,0
166,ACC-100166,Ibadan,2026-08-30T07:06:45.294Z,AG-1015,2,52.1,1,24.34,0,0,7,0
167,ACC-100167,Port Harcourt,2026-07-14T07:06:45.294Z,AG-1001,3,0,1,35.08,0,0,8,0
168,ACC-100168,Kano,2026-07-31T07:06:45.294Z,AG-1038,1,25,0,20.73,2,0,11,0
169,ACC-100169,Lagos,2026-07-06T07:06:45.294Z,AG-1015,3,26.1,1,15.8,0,0,21,0
170,ACC-100170,Lagos,2026-08-09T07:06:45.294Z,AG-1003,0,13.8,0,15.02,0,0,13,0
171,ACC-100171,Port Harcourt,2026-06-10T07:06:45.294Z,AG-1014,3,5,1,24.95,0,0,6,0
172,ACC-100172,Ibadan,2026-09-01T07:06:45.294Z,AG-1032,0,0,1,9.04,2,0,9,0
173,ACC-100173,Lagos,2026-08-30T07:06:45.295Z,AG-1013,2,10.6,0,21.23,0,0,16,0
174,ACC-100174,Lagos,2026-08-24T07:06:45.295Z,AG-1038,0,0,0,24.53,0,0,12,0
175,ACC-100175,Ibadan,2026-06-09T07:06:45.295Z,AG-1015,0,9.8,0,27.03,1,0,17,0
176,ACC-100176,Port Harcourt,2026-06-30T07:06:45.295Z,AG-1028,2,0,1,11.93,0,0,19,0
177,ACC-100177,Kano,2026-06-26T07:06:45.295Z,AG-1025,0,7.1,0,14.12,1,0,14,0
178,ACC-100178,Abuja,2026-06-12T07:06:45.295Z,AG-1028,3,31.8,1,0,0,0,17,0
179,ACC-100179,Ibadan,2026-07-13T07:06:45.295Z,AG-1028,1,387.8,1,0,7,403088,14,1
180,ACC-100180,Kano,2026-08-15T07:06:45.295Z,AG-1010,4,38.7,1,23.94,0,9103,7,0
181,ACC-100181,Ibadan,2026-06-28T07:06:45.295Z,AG-1004,2,44.6,0,9.4,2,0,13,0
182,ACC-100182,Port Harcourt,2026-06-18T07:06:45.295Z,AG-1016,1,32.3,1,25.52,0,19778,7,0
183,ACC-100183,Kano,2026-06-29T07:06:45.295Z,AG-1039,0,7.1,1,18.98,1,8072,18,0
184,ACC-100184,Ibadan,2026-07-04T07:06:45.295Z,AG-1024,2,3.4,0,17.12,1,0,19,0
185,ACC-100185,Abuja,2026-07-21T07:06:45.295Z,AG-1007,0,12,0,9.12,1,0,22,0
186,ACC-100186,Abuja,2026-07-01T07:06:45.295Z,AG-1033,4,50,0,0,1,0,22,0
187,ACC-100187,Lagos,2026-06-27T07:06:45.295Z,AG-1011,2,21.9,1,14.74,1,0,15,0
188,ACC-100188,Kano,2026-07-12T07:06:45.295Z,AG-1039,2,4.8,0,10.27,0,0,16,0
189,ACC-100189,Kano,2026-06-24T07:06:45.295Z,AG-1020,3,0,0,43.75,1,0,8,0
190,ACC-100190,Port Harcourt,2026-08-23T07:06:45.295Z,AG-1018,4,0,0,17.39,0,0,21,0
191,ACC-100191,Lagos,2026-07-22T07:06:45.295Z,AG-1032,0,46,0,9.95,1,0,6,0
192,ACC-100192,Kano,2026-07-09T07:06:45.295Z,AG-1015,3,12.4,0,20.99,0,0,10,0
193,ACC-100193,Ibadan,2026-08-06T07:06:45.295Z,AG-1034,1,0,1,33.07,1,0,10,0
194,ACC-100194,Kano,2026-08-03T07:06:45.295Z,AG-1016,0,0,0,0,0,0,8,0
195,ACC-100195,Lagos,2026-06-10T07:06:45.295Z,AG-1001,0,10,0,18.79,0,0,15,0
196,ACC-100196,Kano,2026-08-27T07:06:45.295Z,AG-1001,0,0,0,10.67,0,7402,7,0
197,ACC-100197,Abuja,2026-06-18T07:06:45.295Z,AG-1015,3,37.6,0,16.3,1,5303,12,0
198,ACC-100198,Abuja,2026-06-28T07:06:45.295Z,AG-1017,3,23,0,18.11,0,0,13,0
199,ACC-100199,Abuja,2026-06-28T07:06:45.295Z,AG-1001,1,0,0,30.87,1,6158,17,0
200,ACC-100200,Ibadan,2026-08-14T07:06:45.295Z,AG-1022,1,30.1,0,24.11,0,0,22,0
201,ACC-100201,Ibadan,2026-06-18T07:06:45.295Z,AG-1014,2,12.5,1,19.01,0,0,15,0
202,ACC-100202,Port Harcourt,2026-08-14T07:06:45.295Z,AG-1012,2,23.7,0,14.55,1,17417,10,0
203,ACC-100203,Ibadan,2026-08-28T07:06:45.295Z,AG-1039,2,3.9,0,0,0,16313,22,0
204,ACC-100204,Lagos,2026-06-28T07:06:45.295Z,AG-1009,1,45,1,25.48,1,0,21,0
205,ACC-100205,Kano,2026-07-27T07:06:45.295Z,AG-1004,0,8.6,0,14.54,1,0,22,0
206,ACC-100206,Ibadan,2026-08-03T07:06:45.295Z,AG-1011,0,11.8,0,29.81,0,7320,21,0
207,ACC-100207,Port Harcourt,2026-09-03T07:06:45.295Z,AG-1026,1,8.5,1,15.71,1,0,15,0
208,ACC-100208,Port Harcourt,2026-07-24T07:06:45.295Z,AG-1025,1,5.5,1,28.32,0,7882,16,0
209,ACC-100209,Port Harcourt,2026-06-15T07:06:45.295Z,AG-1034,2,18.6,0,11.99,2,0,8,0
210,ACC-100210,Port Harcourt,2026-09-04T07:06:45.295Z,AG-1034,0,20.9,0,0,0,0,11,0
211,ACC-100211,Lagos,2026-06-25T07:06:45.295Z,AG-1018,3,78.4,1,22.3,1,0,9,0
212,ACC-100212,Lagos,2026-07-30T07:06:45.295Z,AG-1002,2,0,0,18.14,1,4963,17,0
213,ACC-100213,Ibadan,2026-08-30T07:06:45.295Z,AG-1038,3,1.9,0,9.34,0,0,11,0
214,ACC-100214,Port Harcourt,2026-07-20T07:06:45.295Z,AG-1024,1,0,1,18.23,0,0,9,0
215,ACC-100215,Ibadan,2026-08-08T07:06:45.295Z,AG-1024,0,0,0,9.51,0,0,9,0
216,ACC-100216,Ibadan,2026-07-11T07:06:45.295Z,AG-1029,0,73,0,8.16,2,0,6,0
217,ACC-100217,Port Harcourt,2026-06-20T07:06:45.295Z,AG-1001,0,65.8,0,9.02,1,0,7,0
218,ACC-100218,Kano,2026-08-02T07:06:45.295Z,AG-1019,1,53.6,0,12.64,1,0,19,0
219,ACC-100219,Kano,2026-07-03T07:06:45.295Z,AG-1039,2,18.9,1,2.21,6,99084,0,1
220,ACC-100220,Port Harcourt,2026-07-12T07:06:45.295Z,AG-1012,0,0,0,27.96,0,0,8,0
221,ACC-100221,Abuja,2026-06-07T07:06:45.296Z,AG-1005,4,245.9,1,0,2,97622,3,1
222,ACC-100222,Abuja,2026-08-06T07:06:45.296Z,AG-1025,2,32.5,0,0,0,0,18,0
223,ACC-100223,Ibadan,2026-08-15T07:06:45.296Z,AG-1015,2,45.1,1,12.97,0,0,18,0
224,ACC-100224,Lagos,2026-07-31T07:06:45.296Z,AG-1006,2,49.3,0,11.53,1,0,13,0
225,ACC-100225,Kano,2026-06-09T07:06:45.296Z,AG-1014,4,38.7,1,16.99,3,0,10,0
226,ACC-100226,Abuja,2026-07-02T07:06:45.296Z,AG-1027,4,10.2,1,4.99,0,0,6,0
227,ACC-100227,Lagos,2026-07-01T07:06:45.296Z,AG-1031,2,0,0,4.57,1,0,16,0
228,ACC-100228,Ibadan,2026-07-06T07:06:45.296Z,AG-1006,1,65.8,1,9.61,0,0,13,0
229,ACC-100229,Port Harcourt,2026-07-28T07:06:45.296Z,AG-1036,3,37.1,0,21.75,1,0,9,0
230,ACC-100230,Lagos,2026-07-22T07:06:45.296Z,AG-1006,2,13.5,0,13.57,0,0,12,0
231,ACC-100231,Ibadan,2026-06-29T07:06:45.296Z,AG-1023,1,11.9,0,8.38,0,0,7,0
232,ACC-100232,Port Harcourt,2026-08-28T07:06:45.296Z,AG-1023,2,2.6,0,10.42,1,0,18,0
233,ACC-100233,Kano,2026-08-29T07:06:45.296Z,AG-1024,1,10,0,14.41,0,0,12,0
234,ACC-100234,Abuja,2026-08-29T07:06:45.296Z,AG-1037,0,36.9,1,6.13,0,0,21,0
235,ACC-100235,Port Harcourt,2026-08-28T07:06:45.296Z,AG-1012,4,0,1,18.57,0,0,15,0
236,ACC-100236,Abuja,2026-07-29T07:06:45.296Z,AG-1004,9,413.6,1,2.89,5,622003,5,1
237,ACC-100237,Kano,2026-07-20T07:06:45.296Z,AG-1018,2,2.8,0,9.91,0,0,11,0
238,ACC-100238,Kano,2026-06-27T07:06:45.296Z,AG-1030,2,21.5,0,15.24,2,0,10,0
239,ACC-100239,Ibadan,2026-07-19T07:06:45.296Z,AG-1022,3,0,1,19.53,0,0,21,0
240,ACC-100240,Port Harcourt,2026-08-23T07:06:45.296Z,AG-1019,3,25.5,0,26.09,0,0,16,0
241,ACC-100241,Port Harcourt,2026-06-07T07:06:45.296Z,AG-1008,2,45.5,0,0,3,0,13,0
242,ACC-100242,Kano,2026-06-07T07:06:45.296Z,AG-1032,3,10.9,0,17.93,1,0,8,0
